NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,DAMAGE_SCORE
1,1,11,Bulbasaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318,1.2211310749654345
2,1,21,Ivysaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,1.0,13.0,60,62,63,80,80,60,405,1.5135318218339366
3,1,31,Venusaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,2.0,100.0,80,82,83,100,100,80,525,1.9201045127366845
3,2,32,Mega Venusaur,Grass,Poison,Green,Thick Fat,,,1,0,1,2.4,155.5,80,100,123,122,120,80,625,2.3422769301125874
4,1,41,Charmander,Fire,,Red,Blaze,,Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309,1.1441448059554173
5,1,51,Charmeleon,Fire,,Red,Blaze,,Solar Power,1,0,0,1.1,19.0,58,64,58,80,65,80,405,1.5255264079405624
6,1,61,Charizard,Fire,Flying,Red,Blaze,,Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534,2.2246535076124254
6,2,62,Mega Charizard X,Fire,Dragon,Black,Tough Claws,,,1,0,1,1.7,110.5,78,130,111,130,85,100,634,2.7839587058334
6,3,63,Mega Charizard Y,Fire,Flying,Red,Drought,,,1,0,1,1.7,90.5,78,104,78,159,115,100,634,3.11569487041614
7,1,71,Squirtle,Water,,Blue,Torrent,,Rain Dish,1,0,0,0.5,9.0,44,48,65,50,64,43,314,0.8423621129085443
8,1,81,Wartortle,Water,,Blue,Torrent,,Rain Dish,1,0,0,1.0,22.5,59,63,80,65,80,58,405,1.095070746781106
9,1,91,Blastoise,Water,,Blue,Torrent,,Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530,1.4320155919445277
9,2,92,Mega Blastoise,Water,,Blue,Mega Launcher,,,1,0,1,1.6,101.1,79,103,120,135,115,78,630,2.274377704853071
10,1,101,Caterpie,Bug,,Green,Shield Dust,,Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195,0.5186886866305238
11,1,111,Metapod,Bug,,Green,Shed Skin,,,1,0,0,0.7,9.9,50,20,55,25,25,30,205,0.3457924577536835
12,1,121,Butterfree,Bug,Flying,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32.0,60,45,50,90,80,70,395,0.9004422599962721
13,1,131,Weedle,Bug,Poison,Brown,Shield Dust,,Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195,0.6723951055448241
14,1,141,Kakuna,Bug,Poison,Yellow,Shed Skin,,,1,0,0,0.6,10.0,45,25,50,25,25,35,205,0.4802822182463008
15,1,151,Beedrill,Bug,Poison,Yellow,Swarm,,Sniper,1,0,0,1.0,29.5,65,90,40,45,80,75,395,1.729015985686688
